DATA_SNAPSHOT,ID_OPORTUNIDADE,CUSTOMER,VENDEDOR, TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,DATA DA ULTIMA ATUALIZAÇÃO,DATA DE FECHAMENTO,CHAVE,STATUS ANTERIOR
13/04/2026,OPP-JUN-0426-018,JUNDU,Felipe Hanke,, Negociação ,Aguardando processo interno,,,"Verificando com Kelly sobre novo Bess para POC, Felipe está em contato com Jener",13/04/2026,,,12/05/2026
03/04/2026,OPP-KBP-0426-012,KBPX,Bruno Reis," R$  10.000.000,00 ", Negociação ,,,100%,,03/04/2026,,,
13/04/2026,OPP-KBP-0426-012,KBPX,Bruno Reis," R$  10.000.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-KBP-0426-013,KBPX,Bruno Reis," R$  4.257.000,00 ", Negociação ,,,100%,,03/04/2026,,,
13/04/2026,OPP-KBP-0426-013,KBPX,Bruno Reis," R$  4.257.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-KBP-0426-013,KBPX,Bruno Reis," R$ 10.000.000,00 ", Negociação , Aguardando cliente ,Baixo,100%,,12/05/2026,,,
03/04/2026,OPP-KBP-0426-014,KBPX,Bruno Reis," R$ 4.257.000,00 ", Negociação , Aguardando cliente ,Baixo,100%,,12/05/2026,,,
03/04/2026,OPP-Mac-0426-020,Macaé,Bruno Reis," R$  5.250.000,00 ", Negociação ,,,100%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-MAC-0426-020,MACAÉ,Bruno Reis," R$  5.250.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-MAC-0426-023,MACAÉ,Bruno Reis," R$ 5.250.000,00 ", Negociação , Aguardando cliente ,Baixo,100%,,11/05/2026,,,
03/04/2026,OPP-MAR-0426-002,MARECHAL,Felipe Hanke," R$  725.000,00 ",,,,100%,,03/04/2026,,,11/05/2026
13/04/2026,OPP-MAR-0426-002,MARECHAL,Felipe Hanke," R$ 725.000,00 ", Negociação ,Aguardando processo interno,,100%,"Aguardando atualização da proposta Comercial e Técnica, Empresa e Onibus.",13/04/2026,,,
03/04/2026,OPP-MAR-0426-002,MARECHAL,Felipe Hanke," R$  200.567,00 ",Proposta,Aguardando processo interno,,100%,"Proposta apresentada, porém cliente disse que não possui carga para conexão do carregador, temos de revisar o escopo incluindo 1 Bess de 261",12/05/2026,,,
12/05/2026,OPP-MON-0526-032,MONTES CLAROS,Bruno Reis,,Lead,Aguardando cliente,Médio,,,14/05/2026,,,
13/04/2026,OPP-MOV-0326-028,MOVEBUSS,Bruno Reis,, Proposta , Aguardando cliente ,Médio,50%,,13/04/2026,,,
04/03/2026,OPP-MOV-0326-031,MOVEBUSS,Bruno Reis,,Proposta,Aguardando cliente,Médio,50%,,11/05/2026,,,
03/04/2026,OPP-Nor-0426-014,Nortebuss,Bruno Reis," R$  10.000.000,00 ", Negociação ,,,100%,,03/04/2026,,,
13/04/2026,OPP-NOR-0426-014,NORTEBUSS,Bruno Reis," R$  10.000.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-Nor-0426-015,Nortebuss,Bruno Reis," R$  4.257.000,00 ", Negociação ,,,100%,,03/04/2026,,,
13/04/2026,OPP-NOR-0426-015,NORTEBUSS,Bruno Reis," R$  4.257.000,00 ", Negociação ,,,100%,,13/04/2026,,,
03/04/2026,OPP-NOR-0426-015,NORTEBUSS,Bruno Reis," R$ 10.000.000,00 ", Negociação , Aguardando cliente ,Baixo,100%,,14/05/2026,,,
03/04/2026,OPP-NOR-0426-016,NORTEBUSS,Bruno Reis," R$ 4.257.000,00 ", Negociação , Aguardando cliente ,Baixo,100%,,14/05/2026,,,
03/04/2026,OPP-Pês-0426-007,Pêssego,Bruno Reis,, Lead ,Parado,,0%,,03/04/2026,,,14/05/2026
13/04/2026,OPP-Pês-0426-007,PÊSSEGO,Bruno Reis,, Lead , Parado ,,0%,,13/04/2026,,,
03/04/2026,OPP-PÊS-0426-009,PÊSSEGO,Bruno Reis, R$ - , Proposta , Aguardando cliente ,Alto,0%,,12/05/2026,,,
03/04/2026,OPP-Por-0426-021,Porto Alegre,Bruno Reis," R$  1.312.500,00 ", Negociação ,,,25%,,03/04/2026,,,12/05/2026
13/04/2026,OPP-Por-0426-021,PORTO ALEGRE,Bruno Reis," R$  1.312.500,00 ", Negociação ,,,25%,,13/04/2026,,,
03/04/2026,OPP-POR-0426-024,PORTO ALEGRE,Bruno Reis," R$ 1.312.500,00 ", Negociação , Parado ,Médio,25%,,09/04/2026,,,
03/04/2026,OPP-PRE-0426-004,PREFEITURA DE BELO HORIZONTE,Bruno Reis," R$  1.350.000,00 ", Negociação ,,,100%,,03/04/2026,,,09/04/2026
03/04/2026,OPP-PRE-0426-003,PREFEITURA DE BELO HORIZONTE,Bruno Reis," R$  1.350.000,00 ", Negociação ,,,100%,,13/04/2026,,,03/04/2026
03/04/2026,OPP-PRE-0426-004,PREFEITURA DE BELO HORIZONTE,Bruno Reis," R$ 14.971.578,66 ", Perdido , Perdido ,Baixo,0%,,08/06/2026,,,
03/04/2026,OPP-PRE-0426-005,PREFEITURA DE SÃO JOSÉ DOS CAMPOS,Felipe Hanke,,,,,0%,,03/04/2026,,,08/06/2026
13/04/2026,OPP-PRE-0426-005,PREFEITURA DE SÃO JOSÉ DOS CAMPOS,Felipe Hanke,, Negociação ,Parado,,0%,Verificar alternativa de quem investirá,13/04/2026,,,
03/04/2026,OPP-PRE-0426-005,PREFEITURA DE SÃO JOSÉ DOS CAMPOS,Felipe Hanke,,Qualificação,Parado,,0%,Verificar alternativa de quem investirá,12/05/2026,,,
03/04/2026,OPP-Sam-0426-016,Sambaíba,Bruno Reis,, Lead ,Parado,,0%,,03/04/2026,,,12/05/2026
